listing,date,occupancy_percent,suggested_rate,adjusted_rate,final_tier,booking_window
Cocoon,2025-06-01,25.0,443,,T4-T6,46-59 Days (W5)
Cocoon,2025-06-02,25.0,352,,T4-T6,46-59 Days (W5)
Cocoon,2025-06-03,25.0,352,,T4-T6,46-59 Days (W5)
Cocoon,2025-06-04,25.0,352,,T4-T6,46-59 Days (W5)
Cocoon,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Cocoon,2025-06-06,8.33,671,,T7-T9,46-59 Days (W5)
Cocoon,2025-06-07,8.33,671,,T7-T9,46-59 Days (W5)
Cocoon,2025-06-08,8.33,354,,T4-T6,46-59 Days (W5)
Cocoon,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Cocoon,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Walnut House,2025-06-01,25.0,372,,T4-T6,46-59 Days (W5)
Walnut House,2025-06-02,25.0,301,,T4-T6,46-59 Days (W5)
Walnut House,2025-06-03,25.0,301,,T4-T6,46-59 Days (W5)
Walnut House,2025-06-04,25.0,301,,T4-T6,46-59 Days (W5)
Walnut House,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Walnut House,2025-06-06,8.33,604,,T7-T9,46-59 Days (W5)
Walnut House,2025-06-07,8.33,604,,T7-T9,46-59 Days (W5)
Walnut House,2025-06-08,8.33,297,,T4-T6,46-59 Days (W5)
Walnut House,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Walnut House,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Spyglass,2025-06-01,25.0,372,,T4-T6,46-59 Days (W5)
Spyglass,2025-06-02,25.0,301,,T4-T6,46-59 Days (W5)
Spyglass,2025-06-03,25.0,301,,T4-T6,46-59 Days (W5)
Spyglass,2025-06-04,25.0,301,,T4-T6,46-59 Days (W5)
Spyglass,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Spyglass,2025-06-06,8.33,604,,T7-T9,46-59 Days (W5)
Spyglass,2025-06-07,8.33,604,,T7-T9,46-59 Days (W5)
Spyglass,2025-06-08,8.33,297,,T4-T6,46-59 Days (W5)
Spyglass,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Spyglass,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Live Oak Lodge,2025-06-01,25.0,372,361,T4-T6,46-59 Days (W5)
Live Oak Lodge,2025-06-02,25.0,301,,T4-T6,46-59 Days (W5)
Live Oak Lodge,2025-06-03,25.0,301,,T4-T6,46-59 Days (W5)
Live Oak Lodge,2025-06-04,25.0,301,,T4-T6,46-59 Days (W5)
Live Oak Lodge,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Live Oak Lodge,2025-06-06,8.33,604,,T7-T9,46-59 Days (W5)
Live Oak Lodge,2025-06-07,8.33,604,,T7-T9,46-59 Days (W5)
Live Oak Lodge,2025-06-08,8.33,297,,T4-T6,46-59 Days (W5)
Live Oak Lodge,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Live Oak Lodge,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Lantana Dome,2025-06-01,25.0,443,,T4-T6,46-59 Days (W5)
Lantana Dome,2025-06-02,25.0,352,,T4-T6,46-59 Days (W5)
Lantana Dome,2025-06-03,25.0,352,,T4-T6,46-59 Days (W5)
Lantana Dome,2025-06-04,25.0,352,,T4-T6,46-59 Days (W5)
Lantana Dome,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Lantana Dome,2025-06-06,8.33,671,,T7-T9,46-59 Days (W5)
Lantana Dome,2025-06-07,8.33,671,,T7-T9,46-59 Days (W5)
Lantana Dome,2025-06-08,8.33,354,,T4-T6,46-59 Days (W5)
Lantana Dome,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Lantana Dome,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Sage Safari,2025-06-01,25.0,443,,T4-T6,46-59 Days (W5)
Sage Safari,2025-06-02,25.0,352,,T4-T6,46-59 Days (W5)
Sage Safari,2025-06-03,25.0,352,,T4-T6,46-59 Days (W5)
Sage Safari,2025-06-04,25.0,352,,T4-T6,46-59 Days (W5)
Sage Safari,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Sage Safari,2025-06-06,8.33,671,,T7-T9,46-59 Days (W5)
Sage Safari,2025-06-07,8.33,671,,T7-T9,46-59 Days (W5)
Sage Safari,2025-06-08,8.33,354,344,T4-T6,46-59 Days (W5)
Sage Safari,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Sage Safari,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Monarch,2025-06-01,25.0,372,,T4-T6,46-59 Days (W5)
Monarch,2025-06-02,25.0,301,,T4-T6,46-59 Days (W5)
Monarch,2025-06-03,25.0,301,,T4-T6,46-59 Days (W5)
Monarch,2025-06-04,25.0,301,,T4-T6,46-59 Days (W5)
Monarch,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Monarch,2025-06-06,8.33,604,,T7-T9,46-59 Days (W5)
Monarch,2025-06-07,8.33,604,,T7-T9,46-59 Days (W5)
Monarch,2025-06-08,8.33,297,,T4-T6,46-59 Days (W5)
Monarch,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Monarch,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Buckeye Bungalow,2025-06-01,25.0,443,,T4-T6,46-59 Days (W5)
Buckeye Bungalow,2025-06-02,25.0,352,,T4-T6,46-59 Days (W5)
Buckeye Bungalow,2025-06-03,25.0,352,,T4-T6,46-59 Days (W5)
Buckeye Bungalow,2025-06-04,25.0,352,,T4-T6,46-59 Days (W5)
Buckeye Bungalow,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Buckeye Bungalow,2025-06-06,8.33,671,,T7-T9,46-59 Days (W5)
Buckeye Bungalow,2025-06-07,8.33,671,,T7-T9,46-59 Days (W5)
Buckeye Bungalow,2025-06-08,8.33,354,,T4-T6,46-59 Days (W5)
Buckeye Bungalow,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Buckeye Bungalow,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Cedar Haus,2025-06-01,25.0,281,,T4-T6,46-59 Days (W5)
Cedar Haus,2025-06-02,25.0,231,,T4-T6,46-59 Days (W5)
Cedar Haus,2025-06-03,25.0,231,,T4-T6,46-59 Days (W5)
Cedar Haus,2025-06-04,25.0,231,,T4-T6,46-59 Days (W5)
Cedar Haus,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Cedar Haus,2025-06-06,8.33,316,,T7-T9,46-59 Days (W5)
Cedar Haus,2025-06-07,8.33,316,,T7-T9,46-59 Days (W5)
Cedar Haus,2025-06-08,8.33,239,,T4-T6,46-59 Days (W5)
Cedar Haus,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Cedar Haus,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Juniper Haus,2025-06-01,25.0,281,,T4-T6,46-59 Days (W5)
Juniper Haus,2025-06-02,25.0,231,,T4-T6,46-59 Days (W5)
Juniper Haus,2025-06-03,25.0,231,,T4-T6,46-59 Days (W5)
Juniper Haus,2025-06-04,25.0,231,,T4-T6,46-59 Days (W5)
Juniper Haus,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Juniper Haus,2025-06-06,8.33,316,,T7-T9,46-59 Days (W5)
Juniper Haus,2025-06-07,8.33,316,,T7-T9,46-59 Days (W5)
Juniper Haus,2025-06-08,8.33,239,,T4-T6,46-59 Days (W5)
Juniper Haus,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Juniper Haus,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Pecan Haus,2025-06-01,25.0,281,,T4-T6,46-59 Days (W5)
Pecan Haus,2025-06-02,25.0,231,,T4-T6,46-59 Days (W5)
Pecan Haus,2025-06-03,25.0,231,,T4-T6,46-59 Days (W5)
Pecan Haus,2025-06-04,25.0,231,,T4-T6,46-59 Days (W5)
Pecan Haus,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Pecan Haus,2025-06-06,8.33,316,,T7-T9,46-59 Days (W5)
Pecan Haus,2025-06-07,8.33,316,,T7-T9,46-59 Days (W5)
Pecan Haus,2025-06-08,8.33,239,,T4-T6,46-59 Days (W5)
Pecan Haus,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Pecan Haus,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
Bluebonnet,2025-06-01,25.0,443,,T4-T6,46-59 Days (W5)
Bluebonnet,2025-06-02,25.0,352,,T4-T6,46-59 Days (W5)
Bluebonnet,2025-06-03,25.0,352,,T4-T6,46-59 Days (W5)
Bluebonnet,2025-06-04,25.0,352,,T4-T6,46-59 Days (W5)
Bluebonnet,2025-06-05,33.33,,,T4-T6,46-59 Days (W5)
Bluebonnet,2025-06-06,8.33,671,,T7-T9,46-59 Days (W5)
Bluebonnet,2025-06-07,8.33,671,,T7-T9,46-59 Days (W5)
Bluebonnet,2025-06-08,8.33,354,,T4-T6,46-59 Days (W5)
Bluebonnet,2025-06-09,16.67,,,T4-T6,46-59 Days (W5)
Bluebonnet,2025-06-10,25.0,,,T4-T6,60-120 Days (W6)
